Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,25809,27075,25688,26965,26965,381744
2020-03-05,26921,26973,25915,26060,26060,461258
2020-03-06,26143,26282,25193,25789,25789,581213
2020-03-09,25356,25356,23549,23877,23877,335681
2020-03-10,23727,25020,23424,24849,24849,523496
2020-03-11,24838,24890,23300,23575,23575,495349
2020-03-12,23565,23851,20875,21085,21085,465613
2020-03-13,20769,23147,20388,22988,22988,232403
2020-03-16,22867,22899,20062,20399,20399,113138
2020-03-17,20381,21380,19872,20966,20966,121858
2020-03-18,20791,20954,18904,19981,19981,87328
2020-03-19,19996,20497,18993,20003,20003,54061
2020-03-20,19712,20999,19543,20255.5293,20255.5293,286183
2020-03-23,18504,19804,18086,18497,18497,308160
2020-03-24,18584,20710,18584,20608,20608,287349
2020-03-25,20679,21892,20279,21026,21026,334528
2020-03-26,21058,22449,20510,22348,22348,335334
2020-03-27,22520,22545,21316,21437,21437,258114
2020-03-30,20926,22239,20778,22167,22167,198019
2020-03-31,22186,22386,21641,21751,21751,173680
2020-04-01,21702,21702,20648,20740,20740,207275
2020-04-02,20819,21374,20500,21273,21273,247194
2020-04-03,21272,21352,20740,20957,20957,169298
2020-04-06,20944,22663,20944,22488,22488,222337
2020-04-07,22496,23477,22300,22491,22491,275755
2020-04-08,22479,23394,22244,23246,23246,238333
2020-04-09,23298,23889,23020,23618,23618,262866
2020-04-13,23839,23911,22968,23309,23309,159039
2020-04-14,23320,23922,23250,23880,23880,174571
2020-04-15,23911,23967,23103,23391,23391,184465
2020-04-16,23332,23767,23079,23407,23407,236013
